name,category,ingredients,ingredients_str,label,no_numbers_units,processed_ingredients
Bitterballen (Dutch meatballs),Beef,"['100g Butter', '150g Flour', '700ml Beef Stock', '30g Onion', '1 tbs Parsley', '400g Beef', 'Pinch Salt', 'Pinch Pepper', 'Pinch Nutmeg', '50g Flour', '2 Beaten Eggs', '50g Breadcrumbs']",100g Butter | 150g Flour | 700ml Beef Stock | 30g Onion | 1 tbs Parsley | 400g Beef | Pinch Salt | Pinch Pepper | Pinch Nutmeg | 50g Flour | 2 Beaten Eggs | 50g Breadcrumbs,Meat, butter |  flour |  beef stock |  onion |  parsley |  beef | pinch salt | pinch pepper | pinch nutmeg |  flour |  beaten eggs |  breadcrumbs,butter flour beef stock onion parsley beef pinch salt pinch pepper pinch nutmeg flour beaten egg breadcrumb
Braised Beef Chilli,Beef,"['1kg Beef', '3 Onions', '4 cloves Garlic', 'Dash Olive oil', '300g Chorizo', '2 tsp Cumin', '2 tsp All spice', '1 tsp Cloves', '1 large Cinnamon stick', '3 Bay Leaves', '2 tsp dried Oregano', '2 ancho Ancho Chillies', '3 tbsp Balsamic Vinegar', '2 x 400g Plum Tomatoes', '2 tbsp Tomato Ketchup', '2 tbsp Dark Brown Sugar', '2 x 400g tins Borlotti Beans']",1kg Beef | 3 Onions | 4 cloves Garlic | Dash Olive oil | 300g Chorizo | 2 tsp Cumin | 2 tsp All spice | 1 tsp Cloves | 1 large Cinnamon stick | 3 Bay Leaves | 2 tsp dried Oregano | 2 ancho Ancho Chillies | 3 tbsp Balsamic Vinegar | 2 x 400g Plum Tomatoes | 2 tbsp Tomato Ketchup | 2 tbsp Dark Brown Sugar | 2 x 400g tins Borlotti Beans,Meat, beef |  onions |  cloves garlic | dash olive oil |  chorizo |  cumin |  all spice |  cloves |  large cinnamon stick |  bay leaves |  dried oregano |  ancho ancho chillies |  balsamic vinegar |  x  plum tomatoes |  tomato ketchup |  dark brown sugar |  x  tins borlotti beans,beef onion clove garlic dash oliv oil chorizo cumin spice clove larg cinnamon stick bay leav dri oregano ancho ancho chilli balsam vinegar x plum tomato tomato ketchup dark brown sugar x tin borlotti bean
Cevapi Sausages,Beef,"['500g Minced Beef', '250g Minced Pork', '1 Onion', '4 cloves Garlic', '3 tblsp chopped Parsley', '1 tbs Paprika', '3/4 teaspoon Baking Powder', '2 tbs Breadcrumbs', '3 tbs Water', '1 Vegetable Stock Cube', '1 tsp Salt', '1 tsp Pepper']",500g Minced Beef | 250g Minced Pork | 1 Onion | 4 cloves Garlic | 3 tblsp chopped Parsley | 1 tbs Paprika | 3/4 teaspoon Baking Powder | 2 tbs Breadcrumbs | 3 tbs Water | 1 Vegetable Stock Cube | 1 tsp Salt | 1 tsp Pepper,Meat, minced beef |  minced pork |  onion |  cloves garlic |  chopped parsley |  paprika |  baking powder |  breadcrumbs |  water |  vegetable stock cube |  salt |  pepper,minc beef minc pork onion clove garlic chop parsley paprika bake powder breadcrumb water veget stock cube salt pepper
Chivito uruguayo,Beef,"['2 Beef Brisket', '2 Bread', '1 Lettuce', '1 Tomato', '100g Ham', '100g Mozzarella', '100g Bacon', '1 Egg', '1 Onion', '1 Pepper']",2 Beef Brisket | 2 Bread | 1 Lettuce | 1 Tomato | 100g Ham | 100g Mozzarella | 100g Bacon | 1 Egg | 1 Onion | 1 Pepper,Meat, beef brisket |  bread |  lettuce |  tomato |  ham |  mozzarella |  bacon |  egg |  onion |  pepper,beef brisket bread lettuc tomato ham mozzarella bacon egg onion pepper
Corned Beef and Cabbage,Beef,"['3 Lbs Beef Brisket', '10 Small Potatoes', '5 Carrots', '1 head Cabbage']",3 Lbs Beef Brisket | 10 Small Potatoes | 5 Carrots | 1 head Cabbage,Meat, lbs beef brisket |  small potatoes |  carrots |  head cabbage,lb beef brisket small potato carrot head cabbag
Croatian Bean Stew,Beef,"['2 cans Cannellini Beans', '3 tbs Vegetable Oil', '2 cups Tomatoes', '5 Challots', '2 cloves Garlic', 'Pinch Parsley', '1/2 kg chopped Chorizo']",2 cans Cannellini Beans | 3 tbs Vegetable Oil | 2 cups Tomatoes | 5 Challots | 2 cloves Garlic | Pinch Parsley | 1/2 kg chopped Chorizo,Meat, cans cannellini beans |  vegetable oil |  tomatoes |  challots |  cloves garlic | pinch parsley |  chopped chorizo,can cannellini bean veget oil tomato challot clove garlic pinch parsley chop chorizo
Croatian lamb peka,Beef,"['600g Potatoes', '1 chopped Courgettes', '1 chopped Carrots', '1 chopped Green Pepper', '1 small Aubergine', '1 Large Chopped Onion', '800g Lamb Shoulder', '1 tbs Garlic Sauce', '1 tbs Tomato Puree', '80 ml Olive Oil', 'Sprinking Thyme', '250ml White Wine', 'Pinch Pepper']",600g Potatoes | 1 chopped Courgettes | 1 chopped Carrots | 1 chopped Green Pepper | 1 small Aubergine | 1 Large Chopped Onion | 800g Lamb Shoulder | 1 tbs Garlic Sauce | 1 tbs Tomato Puree | 80 ml Olive Oil | Sprinking Thyme | 250ml White Wine | Pinch Pepper,Meat, potatoes |  courgettes |  carrots |  green pepper |  small aubergine |  large chopped onion |  lamb shoulder |  garlic sauce |  tomato puree |  olive oil | sprinking thyme |  white wine | pinch pepper,potato courgett carrot green pepper small aubergin larg chop onion lamb shoulder garlic sauc tomato pure oliv oil sprink thyme white wine pinch pepper
Egyptian Fatteh,Beef,"['1lb Beef', '1 Onion', '1 Chicken Stock Cube', '2 Tomatoes', '4 Garlic Clove', '1 tbs Tomato Puree', '2 cups Rice', '1/4 cup Noodles', '1/4 cup Butter', '2 cups Olive Oil', '1 Pita Bread', '1 tbs Cumin', '3 tbs White Wine Vinegar', 'To taste Salt', 'To taste Pepper']",1lb Beef | 1 Onion | 1 Chicken Stock Cube | 2 Tomatoes | 4 Garlic Clove | 1 tbs Tomato Puree | 2 cups Rice | 1/4 cup Noodles | 1/4 cup Butter | 2 cups Olive Oil | 1 Pita Bread | 1 tbs Cumin | 3 tbs White Wine Vinegar | To taste Salt | To taste Pepper,Meat, beef |  onion |  chicken stock cube |  tomatoes |  garlic clove |  tomato puree |  rice |  noodles |  butter |  olive oil |  pita bread |  cumin |  white wine vinegar | to taste salt | to taste pepper,beef onion chicken stock cube tomato garlic clove tomato pure rice noodl butter oliv oil pita bread cumin white wine vinegar tast salt tast pepper
Gołąbki (cabbage roll),Beef,"['1 Cabbage', '2 tbs Butter', '1 chopped Onion', '1 lb Ground Beef', '1/2 lb Ground Pork', '1 1/2 cups Rice', '1 tsp Garlic', '1 tsp Salt', '1/4 tsp Black Pepper', '3 cans Tomato Puree']",1 Cabbage | 2 tbs Butter | 1 chopped Onion | 1 lb Ground Beef | 1/2 lb Ground Pork | 1 1/2 cups Rice | 1 tsp Garlic | 1 tsp Salt | 1/4 tsp Black Pepper | 3 cans Tomato Puree,Meat, cabbage |  butter |  onion |  ground beef |  ground pork |   rice |  garlic |  salt |  black pepper |  cans tomato puree,cabbag butter onion ground beef ground pork rice garlic salt black pepper can tomato pure
Irish stew,Beef,"['300g soaked overnight in water whole wheat', '2kg cut into 3cm cubes lamb loin chops', '120ml olive oil', '24 Skinned shallots', '4 large carrots', '2 turnips', '1 celeriac', '350g charlotte potatoes', '150ml white wine', '1 tsp caster sugar', '4 sprigs fresh thyme', '4 sprigs oregano', '450ml chicken stock']",300g soaked overnight in water whole wheat | 2kg cut into 3cm cubes lamb loin chops | 120ml olive oil | 24 Skinned shallots | 4 large carrots | 2 turnips | 1 celeriac | 350g charlotte potatoes | 150ml white wine | 1 tsp caster sugar | 4 sprigs fresh thyme | 4 sprigs oregano | 450ml chicken stock,Meat, soaked overnight in water whole wheat |  cut into  cubes lamb loin chops |  olive oil |  skinned shallots |  large carrots |  turnips |  celeriac |  charlotte potatoes |  white wine |  caster sugar |  sprigs fresh thyme |  sprigs oregano |  chicken stock,soak overnight water whole wheat cut cube lamb loin chop oliv oil skin shallot larg carrot turnip celeriac charlott potato white wine caster sugar sprig fresh thyme sprig oregano chicken stock
Jamaican Beef Patties,Beef,"['4 cups Plain Flour', '1 tsp Salt', '1 tsp Curry Powder', '250g Butter', '1 cup Water', '900g Minced Beef', '1 tsp Allspice', '1/2 tsp Black Pepper', '2 tbs Vegetable Oil', '1 cup Onions', 'Ground Red Pepper', '2 tsp ground Garlic', '1 tbs Thyme', '1/4 tsp Salt', '2 tbs Tomato Ketchup', '2 cups Water', '1/2 cup Onions', '1 beaten Egg', '1 tbs Water', '1/4 cup Water']",4 cups Plain Flour | 1 tsp Salt | 1 tsp Curry Powder | 250g Butter | 1 cup Water | 900g Minced Beef | 1 tsp Allspice | 1/2 tsp Black Pepper | 2 tbs Vegetable Oil | 1 cup Onions | Ground Red Pepper | 2 tsp ground Garlic | 1 tbs Thyme | 1/4 tsp Salt | 2 tbs Tomato Ketchup | 2 cups Water | 1/2 cup Onions | 1 beaten Egg | 1 tbs Water | 1/4 cup Water,Meat, plain flour |  salt |  curry powder |  butter |  water |  minced beef |  allspice |  black pepper |  vegetable oil |  onions | ground red pepper |  ground garlic |  thyme |  salt |  tomato ketchup |  water |  onions |  beaten egg |  water |  water,plain flour salt curri powder butter water minc beef allspic black pepper veget oil onion ground red pepper ground garlic thyme salt tomato ketchup water onion beaten egg water water
Ma Po Tofu,Beef,"['450g Tofu', '100g Minced Beef', '1/2 tbs Sesame Seed Oil', '1 1/2 tsp Doubanjiang', '1/2 tsp Fermented Black Beans', '1 tbs Pepper', '1/2 tsp Salt', '1/2 tsp Sichuan pepper', '1 tbs Soy Sauce', '400ml Water', '2 tbs Olive Oil', '2 chopped Scallions', '4 Spring Onions', '2 cloves chopped Garlic', '4 sliced Ginger', '2 1/2 tbs Water', '1 tbs Cornstarch']",450g Tofu | 100g Minced Beef | 1/2 tbs Sesame Seed Oil | 1 1/2 tsp Doubanjiang | 1/2 tsp Fermented Black Beans | 1 tbs Pepper | 1/2 tsp Salt | 1/2 tsp Sichuan pepper | 1 tbs Soy Sauce | 400ml Water | 2 tbs Olive Oil | 2 chopped Scallions | 4 Spring Onions | 2 cloves chopped Garlic | 4 sliced Ginger | 2 1/2 tbs Water | 1 tbs Cornstarch,Meat, tofu |  minced beef |  sesame seed oil |   doubanjiang |  fermented black beans |  pepper |  salt |  sichuan pepper |  soy sauce |  water |  olive oil |  scallions |  spring onions |  cloves chopped garlic |  sliced ginger |   water |  cornstarch,tofu minc beef sesam seed oil doubanjiang ferment black bean pepper salt sichuan pepper soy sauc water oliv oil scallion spring onion clove chop garlic slice ginger water cornstarch
Massaman Beef curry,Beef,"['85g Peanuts', '400ml can Coconut cream', '4 tbsp Massaman curry paste', '600g stewing cut into strips Beef', '450g waxy Potatoes', '1 cut thin wedges Onion', '4 leaves Lime', '1 Cinnamon stick', '1 tbsp Tamarind paste', '1 tbsp palm or soft light Brown sugar', '1 tbsp Fish Sauce', '1 red deseeded and finely sliced, to serve chilli', 'to serve Jasmine Rice']","85g Peanuts | 400ml can Coconut cream | 4 tbsp Massaman curry paste | 600g stewing cut into strips Beef | 450g waxy Potatoes | 1 cut thin wedges Onion | 4 leaves Lime | 1 Cinnamon stick | 1 tbsp Tamarind paste | 1 tbsp palm or soft light Brown sugar | 1 tbsp Fish Sauce | 1 red deseeded and finely sliced, to serve chilli | to serve Jasmine Rice",Meat," peanuts |  can coconut cream |  massaman curry paste |  stewing cut into strips beef |  waxy potatoes |  cut thin wedges onion |  leaves lime |  cinnamon stick |  tamarind paste |  palm or soft light brown sugar |  fish sauce |  red deseeded and finely sliced, to serve chilli | to serve jasmine rice",peanut coconut cream massaman curri past stew cut strip beef waxi potato cut thin wedg onion leav lime cinnamon stick tamarind past palm soft light brown sugar fish sauc red deseed fine slice serv chilli serv jasmin rice
Minced Beef Pie,Beef,"['2 tbs Vegetable Oil', '500g Minced Beef', '1 chopped Onion', '1 tbls Tomato Puree', '1 ½ tbsp Plain Flour', '75g Mushrooms', '250ml Beef Stock', 'Dash Worcestershire Sauce', '400g Shortcrust Pastry', '1 Egg Yolks']",2 tbs Vegetable Oil | 500g Minced Beef | 1 chopped Onion | 1 tbls Tomato Puree | 1 ½ tbsp Plain Flour | 75g Mushrooms | 250ml Beef Stock | Dash Worcestershire Sauce | 400g Shortcrust Pastry | 1 Egg Yolks,Meat, vegetable oil |  minced beef |  onion |  tbls tomato puree |   plain flour |  mushrooms |  beef stock | dash worcestershire sauce |  shortcrust pastry |  egg yolks,veget oil minc beef onion tbl tomato pure plain flour mushroom beef stock dash worcestershir sauc shortcrust pastri egg yolk
Montreal Smoked Meat,Beef,"['1 Beef Brisket', '3 tbs Salt', '3 tbs Black Pepper', '1 tbs Coriander', '1 tbs Sugar', '1 tsp Bay Leaf', '1 tsp Cloves', '3 tbs Black Pepper', '1 tbs Coriander', '1 tbs Paprika', '1 tbs Garlic', '1 tbs Onion', '1 tbs Dill', '1 tsp English Mustard', '1 tbs Celery Salt', '1 tsp Red Pepper Flakes']",1 Beef Brisket | 3 tbs Salt | 3 tbs Black Pepper | 1 tbs Coriander | 1 tbs Sugar | 1 tsp Bay Leaf | 1 tsp Cloves | 3 tbs Black Pepper | 1 tbs Coriander | 1 tbs Paprika | 1 tbs Garlic | 1 tbs Onion | 1 tbs Dill | 1 tsp English Mustard | 1 tbs Celery Salt | 1 tsp Red Pepper Flakes,Meat, beef brisket |  salt |  black pepper |  coriander |  sugar |  bay leaf |  cloves |  black pepper |  coriander |  paprika |  garlic |  onion |  dill |  english mustard |  celery salt |  red pepper flakes,beef brisket salt black pepper coriand sugar bay leaf clove black pepper coriand paprika garlic onion dill english mustard celeri salt red pepper flake
